Country,Fuel Type,Car Type,Car Brand,Car Name
USA,Petrol,SUV,Ford,Mustang Mach-E
USA,Petrol,Sedan,Ford,Fusion ST
USA,Petrol,Truck,Ford,F-350 Super Duty
USA,Petrol,SUV,Ford,Flex
USA,Petrol,Truck,Ford,F-450 Super Duty
USA,Petrol,SUV,Ford,Explorer Timberline
USA,Petrol,Truck,Ford,F-650 Super Duty
USA,Petrol,SUV,Ford,Explorer Platinum
USA,Petrol,SUV,Ford,Expedition ST
USA,Petrol,Truck,Ford,Ranger Tremor
USA,Petrol,SUV,Ford,Endeavour Sport
USA,Petrol,Sedan,Ford,Focus RS
USA,Petrol,Truck,Ford,Super Duty F-350


